word,embedding
journalists,"[0.04337272420525551, 0.03706023469567299, -0.007191695272922516, 0.009040426462888718, -0.03577570989727974]"
independence,"[0.014092635363340378, -0.023279381915926933, -0.003936849534511566, 0.011572815477848053, -0.02544962242245674]"
helps,"[0.02026471123099327, 0.0036833658814430237, -0.0010501369833946228, -0.010587930679321289, 0.0010838285088539124]"
followed,"[-0.005270600318908691, 0.004603147506713867, 0.047988537698984146, 0.0016613230109214783, 0.04335078224539757]"
fled,"[-0.044216979295015335, -0.01042027398943901, -0.026953721418976784, -0.03191889822483063, 0.023735616356134415]"
figure,"[0.04428330436348915, 0.03346056118607521, -0.00032144784927368164, 0.017625335603952408, 0.04496106132864952]"
events,"[0.023212138563394547, 0.04691263660788536, 0.037639107555150986, -0.028439784422516823, -0.019094979390501976]"
economy,"[-0.006018184125423431, -0.02932828664779663, -0.03920109197497368, -0.04690021276473999, -0.025660503655672073]"
columbia,"[0.037894975394010544, -0.046428658068180084, -0.007251858711242676, -0.04206512123346329, -0.012747369706630707]"
ceremony,"[-0.02116783894598484, 0.02378418669104576, 0.009351443499326706, 0.015045452862977982, -0.04587748274207115]"
barcelonas,"[-0.03153081238269806, -0.014867939054965973, -0.006244741380214691, -0.016856789588928223, -0.011626910418272018]"
90,"[0.0033447258174419403, 0.02083646133542061, -0.04488115385174751, 0.04888660088181496, 0.0008853301405906677]"
23,"[0.02221747860312462, -0.0035533085465431213, -0.04768948629498482, -0.02818295918405056, -0.01874101161956787]"
